tid,1,2,3,4,6,8,12,16,20,24,32,48,64,H_bits,len_tokens,train_frequency,k_min,non_monotone
trained|ssn|Allison Hill,0,0,0,0,0,2,1,1,3,3,3,2,3,71.15333557128906,9,1,8,False
trained|ssn|Antonio Norman,0,0,0,0,0,2,3,2,3,3,3,3,3,72.436767578125,9,20,8,False
trained|ssn|Brandon Moore,0,0,0,0,0,0,0,0,0,0,0,0,1,74.7021255493164,10,20,64,False
trained|ssn|Courtney Hall,0,0,0,0,0,1,2,2,3,3,3,3,3,72.79356384277344,9,5,8,False
trained|ssn|Deanna Smith,0,0,0,0,0,0,1,1,1,3,3,3,3,71.17362213134766,9,20,12,False
trained|ssn|Donna Frye,0,0,0,0,0,0,0,1,1,2,2,2,3,72.38127899169922,10,5,16,False
trained|ssn|Emily Hayes,0,0,0,0,0,0,0,1,2,0,3,3,2,79.53348541259766,10,5,16,True
trained|ssn|Gina Mack,0,0,0,0,1,1,1,2,3,3,3,3,3,73.75379180908203,9,20,6,False
trained|ssn|Jason Newton,0,0,0,0,0,0,2,1,2,2,2,2,3,71.0537338256836,9,20,12,False
trained|ssn|Jason Powell,0,0,0,0,0,1,2,3,2,2,3,3,3,67.62132263183594,9,1,8,False
trained|ssn|Krystal Diaz,0,0,0,0,0,0,0,1,3,1,2,2,3,72.21485137939453,9,20,16,False
trained|ssn|Laura Diaz,0,0,0,0,0,0,1,0,2,3,2,3,2,74.5811996459961,9,20,12,True
trained|ssn|Laura Wilson,0,0,0,0,0,0,1,1,1,1,2,2,2,75.6661605834961,10,20,12,False
trained|ssn|Leonard Gray,0,0,0,0,0,0,0,0,1,1,1,1,1,79.86560821533203,10,5,20,False
trained|ssn|Michelle Fletcher,0,0,0,0,0,0,1,3,2,2,3,3,2,73.08893585205078,9,20,12,False
trained|ssn|Misty Garcia,0,0,0,0,0,1,2,1,0,2,3,3,2,73.58297729492188,9,20,8,True
trained|ssn|Monica Baker,0,0,0,0,0,0,3,3,2,3,3,3,3,73.87828826904297,9,20,12,False
trained|ssn|Ms. Jennifer Hill,0,0,0,0,0,1,0,1,2,2,3,3,3,73.64346313476562,10,20,8,True
trained|ssn|Paul Johnson,0,0,0,0,0,0,1,2,3,1,2,3,1,72.30915832519531,10,20,12,False
trained|ssn|Robert Chase,0,0,0,0,0,0,1,2,3,2,3,3,2,71.2191162109375,9,1,12,False
trained|ssn|Ryan Harvey,0,0,0,0,0,0,1,1,2,2,3,3,3,73.16681671142578,10,20,12,False
trained|ssn|Tricia Mullins DDS,0,0,0,0,0,1,0,2,1,1,2,2,3,78.94608306884766,10,20,8,True
trained|ssn|Virginia Spencer,0,0,0,0,0,1,1,2,3,3,3,3,3,74.65836334228516,9,5,8,False
trained|ssn|Willie Durham,0,0,0,0,0,0,0,0,1,0,1,2,2,74.43388366699219,10,5,20,True
